contig77206	2563
contig83070	2127
contig68477	2702
contig83076	968
contig83075	801
contig46626	3246
contig06218	172615
contig83079	1074
contig74171	1719
contig60892	2047
contig84033	1100
contig06219	54378
contig110648	709
contig110649	624
contig54028	2934
contig54029	2390
contig75778	2083
contig110640	1186
contig110641	992
contig110642	583
contig110643	781
contig110644	624
contig110645	531
contig110646	462
contig110647	776
contig55773	2315
contig33694	7914
contig30789	5887
contig30788	8627
contig55777	2622
contig46629	3979
contig55775	3904
contig107331	1182
contig30783	7993
contig30782	6022
contig30781	6173
contig30780	5541
contig30787	8671
contig30786	5448
contig30785	14275
contig30784	4260
contig03451	116221
contig03450	187883
contig03453	70532
contig03452	77294
contig03455	73582
contig03454	92191
contig03457	74478
contig03456	111585
contig03459	61685
contig03458	57201
contig107335	287
contig112646	791
contig112647	939
contig112644	1574
contig112645	1261
contig112642	623
contig112643	1590
contig112640	831
contig112641	905
contig147223	196
contig147220	446
contig09443	66995
contig147226	244
contig147227	92
contig112648	320
contig112649	765
contig82756	1692
contig117160	1823
contig117161	291
contig117162	645
contig117163	871
contig117164	449
contig117165	841
contig117166	479
contig117167	571
contig117168	300
contig117169	698
contig49392	11740
contig144556	596
contig144551	366
contig144550	240
contig133678	193
contig133679	93
contig24540	11611
contig69647	3903
contig134489	691
contig88528	1418
contig69640	3152
contig50523	4362
contig69641	10267
contig48623	4531
contig48622	3838
contig48621	2741
contig48620	4138
contig48627	3542
contig48626	3629
contig48625	3275
contig48624	3525
contig122397	397
contig48629	3194
contig48628	3639
contig50524	5811
contig24546	8465
contig50526	2208
contig98865	1220
contig75961	1117
contig84034	704
contig122396	500
contig54008	2861
contig91546	1416
contig82753	807
contig81928	936
contig02320	91507
contig02321	109668
contig02322	111222
contig02323	153979
contig02324	121258
contig02325	127336
contig02326	103110
contig02327	159712
contig02328	85662
contig02329	99127
contig85020	739
contig85021	817
contig85026	1818
contig85027	1070
contig85024	1951
contig85025	716
contig36789	8026
contig36788	3622
contig36785	4650
contig36784	4261
contig36787	4815
contig36786	5409
contig36781	4731
contig36780	4775
contig36783	6716
contig36782	3953
contig10068	30239
contig56338	2636
contig10069	36687
contig83801	1183
contig98772	1522
contig56339	2860
contig132107	390
contig132106	522
contig132105	630
contig132104	371
contig132103	400
contig132102	556
contig132101	493
contig132100	400
contig145686	598
contig145687	538
contig145684	137
contig145685	357
contig145682	344
contig21109	18331
contig132109	255
contig132108	346
contig92761	745
contig21108	12078
contig92760	1243
contig67803	4360
contig60458	3961
contig39461	4668
contig73458	836
contig39460	3876
contig56331	2701
contig84038	1158
contig136079	601
contig92764	1355
contig136078	631
contig92767	1179
contig39465	4552
contig39464	7102
contig88579	670
contig39467	3692
contig57069	6058
contig84039	1824
contig39466	4429
contig57068	2421
contig14998	21942
contig14999	20705
contig97985	895
contig08546	33200
contig08547	29382
contig08544	37113
contig08545	27924
contig08542	33881
contig08543	62890
contig08540	33261
contig08541	30226
contig40460	18632
contig57067	2585
contig08548	91872
contig08549	31317
contig146901	548
contig146902	162
contig146903	441
contig146904	163
contig146905	392
contig146906	117
contig146907	442
contig146908	182
contig146909	210
contig132979	498
contig57060	2008
contig14990	18581
contig83859	1197
contig57063	1889
contig132977	434
contig83855	854
contig83854	1418
contig83857	1376
contig57062	2417
contig83851	1616
contig132974	301
contig83853	1313
contig83852	1034
contig118073	538
contig29739	10506
contig118071	163
contig118070	594
contig118077	79
contig118076	507
contig118075	557
contig118074	569
contig29730	9437
contig29731	9308
contig118079	991
contig118078	999
contig29734	6521
contig29735	6524
contig29736	6888
contig29737	7493
contig66380	2081
contig132970	459
contig66381	2294
contig132971	395
contig66382	2673
contig66383	1728
contig66384	1300
contig73459	2013
contig97888	494
contig66183	23909
contig73509	1302
